category,difficulty,system,prompt,completion
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Priority inversion occurs when a lower-priority task holds a resource a higher-priority task needs. Without a fix, an unrelated medium-priority task can indefinitely preempt the low-priority holder, delaying the high-priority task by an unbounded amount — this is the scenario the Priority Inheritance Protocol is designed to bound.

Question: Three tasks run on a single-core real-time system: Low (L, lowest priority) locks a shared mutex M to access a resource; Medium (a CPU-bound task that never touches M); and High (H, highest priority), which needs to lock M. Trace what happens if H becomes ready while L holds M and Medium is also ready, under a naive locking scheme with no priority inheritance, and explain why this is called 'unbounded priority inversion'.","(1) L acquires mutex M and begins its critical section. (2) H becomes ready and, being highest priority, preempts L; H then tries to lock M, but M is held by L, so H blocks and waits. (3) L is not immediately allowed to resume either — Medium is also ready and has higher priority than L, so the scheduler picks Medium to run instead of L. (4) Medium now runs for as long as it likes, never touching M and never itself blocked, so it can keep preempting L indefinitely. The net effect: H, the highest-priority task, is delayed not directly by L (a lower-priority task — an expected, bounded delay) but INDIRECTLY by Medium, a task with priority strictly between L and H that has no logical relationship to the resource H is waiting for. Since Medium's execution time is not bounded by the length of L's critical section, H's wait time has no upper bound — this is 'unbounded priority inversion'. The standard fix is the Priority Inheritance Protocol: while L holds a resource a higher-priority task is blocked on, L's priority is temporarily boosted to match the highest priority of any task blocked on it (here, to H's priority), so the scheduler runs L instead of letting Medium preempt it — bounding H's wait to, at most, the length of L's critical section."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
LOOK disk scheduling behaves like SCAN, but instead of travelling all the way to the physical end of the disk, the head reverses direction as soon as it services the last pending request in the current direction, avoiding unnecessary movement.

Question: A disk has 200 cylinders (numbered 0 to 199). The disk head is currently at cylinder 103. The pending requests, in the order they arrived, are: 102, 171, 24, 47, 35, 122.

Using the LOOK (initial direction: decreasing cylinder numbers) disk scheduling algorithm, determine the order in which the requests are serviced and compute the total head movement (in number of cylinders).","Service order: 103 -> 102 -> 47 -> 35 -> 24 -> 122 -> 171

Head movement per step: |102-103|=1 + |47-102|=55 + |35-47|=12 + |24-35|=11 + |122-24|=98 + |171-122|=49

Total head movement = 226 cylinders"
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Earliest Deadline First (EDF): A dynamic-priority real-time scheduling algorithm that always runs the ready task with the nearest absolute deadline; it is provably optimal and can guarantee schedulability up to 100% CPU utilization.

Question: What is Earliest Deadline First (EDF)?",A dynamic-priority real-time scheduling algorithm that always runs the ready task with the nearest absolute deadline; it is provably optimal and can guarantee schedulability up to 100% CPU utilization.
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Thrashing: A state where a system spends more time swapping/paging than executing actual process instructions, caused by insufficient physical memory for the active working sets.

Question: Explain the term Thrashing in the context of operating systems.","A state where a system spends more time swapping/paging than executing actual process instructions, caused by insufficient physical memory for the active working sets."
negative_edge_case,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Shortest Job First (SJF) scheduling selects the ready process with the smallest next CPU burst time. It can be implemented as non-preemptive (classic SJF) or preemptive (Shortest Remaining Time First, SRTF).

Question: If every process currently in the ready queue happens to have exactly the same CPU burst time, does SJF scheduling produce a different execution order than FCFS scheduling?","Not necessarily. SJF selects the process with the smallest CPU burst time among those in the ready queue — but if every process has the identical burst time, there is no single 'smallest' to distinguish between them, so SJF's selection rule provides no distinguishing information in this case. In practice, ties are broken by some secondary rule (commonly arrival order), which means SJF ends up selecting processes in the same order FCFS would anyway. SJF's advantage over FCFS specifically comes from being able to favor shorter jobs over longer ones — when burst times don't differ at all, that advantage has nothing to act on."
negative_edge_case,hard,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Protection mechanisms control access of processes and users to system resources according to policy, while security defends the whole system against internal and external threats.

Question: If a legitimate, authenticated user misuses file permissions they were correctly granted (e.g. reading a file they're allowed to read, but for a purpose the owner didn't intend), is that a protection failure or a security failure by the definitions given?","It's a protection concern, not necessarily a security failure by these definitions. Protection is described as dealing with 'legitimate users misusing their granted access' — internal mechanisms controlling access according to policy. Security is described as defending against threats that are unauthorized or malicious, from both inside and outside the system — but here, the user IS authorized (correctly authenticated, correctly granted read access) and isn't described as acting maliciously or without authorization; they're simply using a legitimately-granted permission in a way the file owner didn't anticipate. Since the access itself was authorized and within the granted permissions, this scenario is squarely the protection concern the definitions describe, rather than the unauthorized/malicious access security is defined around."
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
In contiguous memory allocation, free memory is organized as a list of holes (blocks). First-fit allocates a process into the first hole large enough to hold it (scanning from the start). Best-fit allocates into the smallest hole that is still large enough. Worst-fit allocates into the largest available hole. After allocation, the unused remainder of the chosen hole remains as a smaller free hole.

Question: Free memory consists of the following holes, in this order: B0=160KB, B1=315KB, B2=99KB, B3=101KB. The following processes arrive in this order and must each be placed into a single contiguous free hole: P0=148KB, P1=227KB, P2=127KB, P3=128KB, P4=299KB.

Using the best-fit allocation strategy, determine which memory block (if any) each process is placed into, and the sizes of the remaining free blocks after all allocations.","P0 (148KB): placed in B0 (was 160KB) -> B0 now has 12KB free
P1 (227KB): placed in B1 (was 315KB) -> B1 now has 88KB free
P2 (127KB): no free block is large enough -> CANNOT be allocated
P3 (128KB): no free block is large enough -> CANNOT be allocated
P4 (299KB): no free block is large enough -> CANNOT be allocated

Final remaining free block sizes: B0=12KB, B1=88KB, B2=99KB, B3=101KB"
recall,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Disk scheduling algorithms decide the order in which pending I/O requests (each targeting a specific cylinder) are serviced, aiming to minimize total head movement and/or provide fairness.

Question: Explain how the SCAN (elevator) disk scheduling algorithm works.","The disk arm starts at one end of the disk and moves toward the other end, servicing every pending request it encounters along the way, then reverses direction at the far end and services requests on the way back — like an elevator. This bounds the maximum wait for any request and gives more uniform service than SSTF."
recall,easy,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Fragmentation: Wasted memory that accumulates over time due to allocation and deallocation patterns; can be internal (wasted space inside an allocated block) or external (wasted space between allocated blocks).

Question: What is Fragmentation?",Wasted memory that accumulates over time due to allocation and deallocation patterns; can be internal (wasted space inside an allocated block) or external (wasted space between allocated blocks).
applied_numerical,medium,"You are an Operating Systems tutor. Answer ONLY using the exact textbook passages provided below. Do NOT add your own examples, do NOT invent information. If the answer is not in the provided text, reply EXACTLY with the word 'OUT_OF_CONTEXT' and nothing else.","Textbook passages:
Shortest Remaining Time First (SRTF) is the preemptive version of SJF: at every instant, the CPU runs whichever ready process has the smallest remaining burst time, preempting the current process if a process with a shorter remaining time becomes ready. Ties are broken by earliest arrival time, then process ID. Completion Time (CT) is when a process finishes; Turnaround Time (TAT) = CT − Arrival Time; Waiting Time (WT) = TAT − Burst Time.

Question: Consider the following processes with their arrival and burst times (all times in milliseconds):

Process | Arrival Time | Burst Time
-----------------------------------
P1      | 0            | 10
P2      | 5            | 4
P3      | 0            | 2

Using Shortest Remaining Time First (SRTF, preemptive) scheduling, draw the Gantt chart and compute the Completion Time, Turnaround Time, and Waiting Time for each process. Also compute the average waiting time and average turnaround time.","Gantt Chart:
P3[0-2] -> P1[2-5] -> P2[5-9] -> P1[9-16]

Process | CT | TAT (=CT-AT) | WT (=TAT-BT)
P1      | 16  | 16            | 6
P2      | 9  | 4            | 0
P3      | 2  | 2            | 0

Average Turnaround Time = (16 + 4 + 2) / 3 = 7.33 ms
Average Waiting Time = (6 + 0 + 0) / 3 = 2 ms"
